Какая форма Капелла, МЭ проникает через листья и стебли растений? | Препарат проникает в форме микроэмульсии.
Каковы периоды выхода для обработки препаратом Капелла, МЭ ? | Для пшеницы - в фазы выхода в трубку до начала колошения, для фузариоза колоса - с конца колошения до начала цветения.
Какие болезни ячменя подавляет препарат Капелла, МЭ ? | Препарат эффективен против мучнистой росы, карликовой ржавчины, сетчатой пятнистости, темно-бурой пятнистости и ринхоспориоза.
Что такое препарат Капелла, МЭ ? | Препарат Капелла, МЭ - это системный комбинированный фунгицид в инновационной формуляции для защиты зерновых культур от широкого спектра болезней.
Какая дозировка Капелла, МЭ требуется для обработки 1 гектара озимой пшеницы от мучнистой росы? | Для озимой пшеницы требуется 0,8-1,0 л препарата на 1 гектар от мучнистой росы.
Какие болезни пирена подавляет препарат Капелла, МЭ ? | Препарат подавляет пиренофороз, мучнистую росу, ржавчину бурую и стеблевую, септориоз листьев и колоса.
Каково время ожидания после обработки препаратом Капелла, МЭ ? | Время ожидания составляет 3 дня для пшеницы и ячменя.
Какие преимущества имеет препарат Капелла, МЭ ? | Преимущества препарата включают высокую фунгицидную активность, микроэмульсию для быстрого проникновения, комбинацию активных веществ для расширения спектра действия, мощное искореняющее действие и ростостимулирующую активность.
Как действует препарат Капелла, МЭ ? | Препарат обладает системным действием, проникает через листья и стебли, ингибирует биосинтез стеролов, что приводит к остановке деления клеток и гибели патогенов, угнетает спорообразование.
В каких фазах вегетации следует проводить обработку препаратом Капелла, МЭ ? | Обработку рекомендуется проводить в фазы выхода в трубку до начала колошения.
В чем заключается механизм действия препарата Капелла, МЭ ? | Препарат ингибирует биосинтез стеролов, нарушая образование клеточной оболочки гриба, что приводит к остановке деления клеток и гибели патогенов.
Можно ли использовать препарат Капелла, МЭ на других культурах, кроме пшеницы и ячменя? | Препарат рекомендуется использовать только на пшенице и ячмене.
Как долго действует противовредное действие препарата Капелла, МЭ ? | Противовредное действие препарата сохраняется в течение 3-4 недель, в эпифитотийных условиях - 7-10 дней.
Каков гарантийный срок хранения препарата Капелла, МЭ ? | Гарантийный срок хранения препарата составляет 2 года.
С какими пестицидами рекомендуется проводить смешивание препарата Капелла, МЭ ? | Препарат совместим с большинством пестицидов, но смешивание следует проверять на совместимость в каждом случае.
Какими культурами можно обрабатывать препаратом Капелла, МЭ ? | Препарат предназначен для обработки пшеницы яровой и озимой, ячменя ярового и озимого.
