Где изготавливается Кантор, ККР ? | Препарат производится в России, АО «Щелково Агрохим».
Какие преимущества у Кантор, ККР при низкой температуре весной? | Препарат сохраняет высокую фунгицидную активность даже при пониженной температуре воздуха весной.
Какой срок ожидания на винограде после обработки Кантор, ККР ? | Препарат имеет короткий срок ожидания после обработки на винограде.
Какие размеры упаковки Кантор, ККР доступны для покупки? | Продукт доступен в упаковке: канистра 5 л, канистра 10 л, флакон 1 л и флакон 0,5 л.
Какие действия выполнить перед приготовлением рабочего раствора? | Перед приготовлением рабочего раствора нужно предварительно приготовить маточный раствор и перемешать его.
Что такое Кантор, ККР ? | Кантор, ККР – это системный фунгицид с уникальным механизмом действия, предназначенный для борьбы с заболеваниями плодовых садов и виноградников. Он содержит 200 г/л ципродинила.
Какое заболевание помогает предотвратить Кантор, ККР ? | Кантор, ККР помогает предотвратить комплекс заболеваний плодовых садов и виноградников.
Как быстро можно ожидать результаты после применения Кантор, ККР ? | Результаты обычно видны через 2-3 часа после обработки.
Каким образом Кантор, ККР проникает в растительные ткани? | Ципродинил быстро проникает в ткани растений благодаря акропетальной и ламинарной транслокации.
Каким образом Кантор, ККР оказывает защиту при инфекционной нагрузке? | Препарат обеспечивает эффективную защиту при любой инфекционной нагрузке благодаря своей высокой активности.
Как долго можно хранить Кантор, ККР без потери качества? | Препарат можно хранить без потери качества в течение 2 лет.
Как быстро Кантор, ККР проникает в растения? | Ципродинил быстро проникает в растительные ткани благодаря своей транслокационной способности.
Какие преимущества имеет жидкая препаративная форма Кантор, ККР ? | Преимущества включают удобство в применении, инновационную препаративную форму и другие.
Сколько времени длится защитное действие Кантор, ККР ? | Защитное действие препарата продолжается в течение 7-10 дней в зависимости от степени развития болезни.
Как Кантор, ККР действует на растения? | Кантор, ККР содержит ципродинил, который быстро проникает в ткани растений и ингибирует биосинтез метионина. Он оказывает как защитное, так и лечебное действие против болезней.
Какие температурные условия подходят для хранения Кантор, ККР ? | Препарат следует хранить в температурном интервале от -15 до +30 °С.
В каком температурном интервале следует хранить Кантор, ККР ? | Препарат следует хранить в температурном интервале от -15 до +30 °С.
Как Кантор, ККР воздействует на резистентных возбудителей? | Препарат эффективен против резистентных рас возбудителей благодаря своему уникальному механизму действия.
Какой класс опасности у Кантор, ККР ? | Кантор, ККР относится к 2 классу опасности, то есть к высокоопасным веществам.
Какой химический класс у Кантор, ККР ? | Препарат относится к химическому классу анилинопиримидинов.
