В какой класс опасности для пчел относится препарат Апекс, МКЭ? | Препарат Апекс, МКЭ относится к 3 классу опасности для пчел, он малоопасный.
Какой объем рабочей жидкости рекомендуется использовать при обработке яблони препаратом Апекс, МКЭ? | При обработке яблони препаратом Апекс, МКЭ рекомендуется использовать 600-1200 л/га рабочей жидкости.
Какие вредители и сорняки подавляются препаратом Апекс, МКЭ на яблоне? | На яблоне препарат Апекс, МКЭ подавляет калифорнийскую щитовку и яблонную плодожорку.
На каких площадках рекомендуется проводить приготовление рабочей жидкости и заправку опрыскивателя препаратом Апекс, МКЭ? | Приготовление рабочей жидкости и заправку опрыскивателя препаратом Апекс, МКЭ рекомендуется проводить на специальных площадках, которые в дальнейшем подвергаются обезвреживанию.
Какой период защитного действия имеет препарат Апекс, МКЭ? | Препарат Апекс, МКЭ обладает защитным действием на протяжении всего периода вегетации, вызывая необратимые нарушения гормонального баланса в организме вредителей и предотвращая появление вредящей фазы развития.
Какой расход препарата Апекс, МКЭ рекомендуется на рапс яровой и озимый для борьбы с капустной молью, белянками и капустной совкой? | Расход препарата Апекс, МКЭ на рапс яровой и озимый для борьбы с капустной молью, белянками и капустной совкой составляет 0,3-0,5 л/га.
Какая дозировка препарата Апекс, МКЭ рекомендуется для обработки яблони? | Для обработки яблони дозировка препарата Апекс, МКЭ составляет 0,5-0,8 л/га.
Какой гарантийный срок хранения имеет препарат Апекс, МКЭ? | Гарантийный срок хранения препарата Апекс, МКЭ составляет 2 года.
В каких случаях применение препарата Апекс, МКЭ допускается самостоятельно, без смешивания с другими препаратами? | Препарат Апекс, МКЭ эффективен при самостоятельном применении.
В какой формуляции представлен препарат Апекс, МКЭ? | Препарат Апекс, МКЭ представлен в масляной эмульсионной формуляции.
В течение какого срока рекомендуется использовать приготовленную рабочую жидкость препарата Апекс, МКЭ? | Приготовленную рабочую жидкость препарата Апекс, МКЭ рекомендуется использовать в течение дня приготовления.
Каков механизм действия пирипроксифена - действующего вещества препарата Апекс, МКЭ? | Пирипроксифен является синтетическим аналогом ювенильного гормона, его механизм действия связан с нарушениями гормонального баланса в организме вредителей.
Как следует приготовить рабочую жидкость перед опрыскиванием препаратом Апекс, МКЭ? | Перед опрыскиванием препаратом Апекс, МКЭ необходимо готовить рабочую жидкость непосредственно перед применением. Для этого отмеряют требуемое количество препарата на одну заправку опрыскивателя, затем бак опрыскивателя на 1/2 заполняется водой, включается мешалка, добавляется полная доза препарата и доливается оставшееся количество воды. После этого все хорошо перемешивается.
Какое действующее вещество содержится в препарате Апекс, МКЭ? | В препарате Апекс, МКЭ содержится 100 г/л пирипроксифена.
Какие преимущества обладает препарат Апекс, МКЭ? | Препарат Апекс, МКЭ обладает уникальным механизмом действия, максимально эффективной масляной формуляцией, действует на все стадии развития вредителей, обеспечивает быстрый токсический эффект и имеет длительный защитный период. Он также малотоксичен для пчел и теплокровных, что делает его необходимым компонентом в комплексных антирезистентных программах защиты культур.
Какую роль играет масляная формуляция в препарате Апекс, МКЭ? | Масляная формуляция улучшает липофильные качества препарата и обеспечивает равномерное распределение инсектицида на теле насекомого и обработанной поверхности, что приводит к быстрому токсическому эффекту и длительному защитному действию при дальнейшем поедании листьев.
Кто является регистрантом препарата Апекс, МКЭ? | Регистрантом препарата Апекс, МКЭ является АО Щелково Агрохим, Россия.
Какой эффект оказывает пирипроксифен на яйцекладки и личинки насекомых? | Пирипроксифен, попадая на яйцекладки и личинки насекомых, нарушает процессы их развития, что приводит к появлению уродливых нежизнеспособных особей с признаками личинки или имаго.
Какие вредители и сорняки подавляются препаратом Апекс, МКЭ на томате и огурце защищенного грунта? | На томате и огурце защищенного грунта препарат Апекс, МКЭ подавляет тепличную белокрылку.
Какие процессы насекомых нарушает пирипроксифен под воздействием препарата Апекс, МКЭ? | Пирипроксифен нарушает процессы эмбриогенеза, метаморфоза и образования взрослых особей насекомых.
Какой расход препарата Апекс, МКЭ рекомендуется на яблоне для борьбы с калифорнийской щитовкой и яблонной плодожоркой? | Расход препарата Апекс, МКЭ на яблоне для борьбы с калифорнийской щитовкой и яблонной плодожоркой составляет 0,5-0,8 л/га.
В каких странах доступен препарат Апекс, МКЭ? | Препарат Апекс, МКЭ доступен в России.
Какой объем рабочей жидкости рекомендуется использовать при обработке рапса ярового и озимого препаратом Апекс, МКЭ? | При обработке рапса ярового и озимого препаратом Апекс, МКЭ рекомендуется использовать 200-400 л/га рабочей жидкости.
С какими веществами препарат Апекс, МКЭ несовместим? | Препарат Апекс, МКЭ несовместим с препаратами, содержащими малатион, так как пирипроксифен и малатион являются антагонистами.
Кто является изготовителем препарата Апекс, МКЭ? | Изготовителем препарата Апекс, МКЭ также является АО Щелково Агрохим, Россия.
Какие вредители и сорняки подавляются препаратом Апекс, МКЭ на рапсе яровом и озимом? | На рапсе яровом и озимом препарат Апекс, МКЭ подавляет капустную моль, белянок и капустную совку.
