Какие объемы Акардо, ККР можно купить? | Препарат Акардо, ККР доступен в упаковке: канистра 5 л, 10 л; флакон 0,5 л.
Какие вредные объекты обрабатываются препаратом Акардо, ККР на сои? | Препарат Акардо, ККР обрабатывает сою от обыкновенного паутинного клеща.
Как применить препарат Акардо, ККР на яблонях? | Препарат Акардо, ККР рекомендуется применять на яблонях опрыскиванием в период вегетации с нормой расхода 0,4-0,6 л/га и нормой расхода рабочей жидкости 600-1200 л/га. Сроки ожидания составляют 28 дней (кратность обработок - 2).
Каков класс опасности препарата Акардо, ККР? | Препарат Акардо, ККР относится к 3 классу опасности, то есть является умеренно опасным веществом.
Каким образом препарат Акардо, ККР действует против щитовок, медяниц и цикадок? | Препарат Акардо, ККР оказывает дополнительное действие против щитовок, медяниц и цикадок, помимо своего основного акарицидного эффекта.
Каков гарантийный срок хранения препарата Акардо, ККР? | Гарантийный срок хранения препарата Акардо, ККР составляет 3 года.
Какова классификация опасности препарата Акардо, ККР? | Препарат Акардо, ККР относится к умеренно опасным веществам и классифицируется как 3 класс опасности.
Для какого вида вредителей предназначен Акардо, ККР? | Препарат Акардо, ККР предназначен для борьбы с клещами и другими вредителями на яблоне, винограде и в посевах сои.
Какие виды пестицидов можно использовать с препаратом Акардо, ККР? | Препарат Акардо, ККР совместим со многими видами пестицидов, но перед смешиванием следует проверить физико-химическую совместимость компонентов.
Какие виды пестицидов рекомендуется чередовать с препаратом Акардо, ККР? | Рекомендуется чередовать препарат Акардо, ККР с инсектицидами из других химических групп для предотвращения возникновения резистентности.
Какие стадии развития растительноядных клещей уничтожаются препаратом Акардо, ККР? | Препарат Акардо, ККР уничтожает растительноядных клещей на всех стадиях их развития - яйца, личинки, протонимфы, дейтонимфы и взрослых самок.
Каков класс опасности препарата Акардо, ККР для пчел? | Класс опасности препарата Акардо, ККР для пчел составляет 3 класс - малоопасное вещество.
В каких странах доступен препарат Акардо, ККР? | Препарат Акардо, ККР доступен в России, Азербайджане, Кыргызстане и Узбекистане.
Для каких культур предназначен препарат Акардо, ККР? | Препарат Акардо, ККР предназначен для яблони, винограда и сои.
Какой период защитного действия препарата Акардо, ККР? | Период защитного действия препарата Акардо, ККР составляет не менее 14 суток.
Какова скорость воздействия препарата Акардо, ККР? | Препарат Акардо, ККР обладает высокой скоростью токсического действия.
