Как долго сохраняется тебуконазол в растении после обработки? | Тебуконазол сохраняется в растении и обеспечивает защиту проростка в начальный период роста.
Как долго длится период защитного действия препарата Гераклион, КС? | Препарат Гераклион, КС эффективен как против поверхностной, так и внутренней семенной инфекции, а также болезней, поражающих растения в более поздний период вегетации.
Какая компания является регистрантом препарата Гераклион, КС? | Регистрантом препарата Гераклион, КС является компания АО «Щелково Агрохим» в России.
Какое влияние оказывает тебуконазол на проросток? | Тебуконазол, входящий в состав препарата, имеет системные свойства, обеспечивающие защиту проростка в начальный период роста.
В чем заключается действие азоксистробина на митохондрии? | Азоксистробин ингибирует митохондриальное дыхание клеток патогенов, что приводит к их гибели.
Какой период защитного действия у препарата Гераклион, КС? | Препарат Гераклион, КС обладает защитным действием как против поверхностной, так и внутренней семенной инфекции, а также ряда болезней в поздней периоде вегетации.
Какое влияние оказывает азоксистробин на болезни растений? | Азоксистробин обладает высокой системной активностью и эффективно борется с оомицетами, плесневением и другими болезнями растений.
Какие культуры обрабатываются препаратом Гераклион, КС с нормой расхода 1,0-1,2 л/т? | Препарат Гераклион, КС с нормой расхода 1,0-1,2 л/т применяется на ячмене яровом и озимом, а также на сое, горохе и подсолнечнике.
Какой состав имеет Гераклион, КС? | Препарат Гераклион, КС содержит концентрат суспензии с 400 г/л тирама, 25 г/л тебуконазола и 15 г/л азоксистробина.
Какие болезни поражают подсолнечник, на которые эффективен Гераклион, КС? | Препарат Гераклион, КС эффективен против ложной мучнистой росы, белой гнили, серой гнили, плесневения семян и альтернариозной семенной инфекции на подсолнечнике.
Какое действие оказывает тирам на мицелий патогенов? | Тирам, присутствующий в составе, подавляет начальный рост мицелия патогенов, таких как гельминтоспориозы и фузариозы.
Как долго тирам сохраняется в почве после обработки? | Тирам сохраняется в почве до 6 недель после обработки, обеспечивая долгосрочную защиту.
Каков регламент применения Гераклиона, КС на различных культурах? | Регламент применения Гераклиона, КС зависит от культуры и вида болезней, но в целом варьируется от 1,0 до 2,0 л/т.
Какие болезни поражают подсолнечник, на которые эффективен Гераклион, КС? | Препарат Гераклион, КС эффективен против ложной мучнистой росы, белой гнили, серой гнили, фузариозной корневой гнили, плесневения семян и альтернариозной семенной инфекции у подсолнечника.
Какое воздействие оказывает тирам на ферменты в клетках патогенов? | Тирам ингибирует активность ферментов, содержащих атомы меди или сульфгидрильные группы в клетках патогенов.
Каков регламент применения Гераклиона, КС на ячмене? | Препарат Гераклион, КС применяется на ячмене яровом и озимом для борьбы с головнями, пятнистостями, плесневением семян и альтернариозной семенной инфекцией.
Какое воздействие оказывает азоксистробин на физиологические процессы растений? | Азоксистробин оказывает физиологическое действие, способствуя озеленению листьев, продлению их жизни и повышению устойчивости к неблагоприятным условиям.
Каков механизм действия тирама в составе препарата? | Тирам, базовый контактный фунгицид, подавляет начальный рост мицелия патогенов, таких как гельминтоспориозы и фузариозы. Он действует на поверхности растений и в почве, обеспечивая длительную защиту.
Какие преимущества имеет Гераклион, КС? | Препарат Гераклион, КС обладает эффективным контактно-системным действием, объединяя антибактериальное и фунгицидное воздействие. Он имеет широкий спектр действия, включая оомицеты, обеспечивает дезинфекцию почвы и стимулирует биологические и физиологические процессы растений.
Какие болезни поддаются контролю при обработке подсолнечника Гераклионом, КС? | Препарат Гераклион, КС позволяет контролировать ложную мучнистую росу, белую гниль, серую гниль, фузариозную корневую гниль, плесневение семян и альтернариозную семенную инфекцию на подсолнечнике.
Сколько лет составляет гарантийный срок хранения препарата? | Гарантийный срок хранения препарата Гераклион, КС составляет 2 года.
Какие болезни поддаются эффективному контролю благодаря препарату Гераклион, КС? | Препарат Гераклион, КС эффективно борется с болезнями, такими как гельминтоспориозы, фузариозы, плесневение семян, альтернариозы и другими.
Какое воздействие оказывает азоксистробин на митохондрии патогенов? | Азоксистробин ингибирует митохондриальное дыхание клеток патогенов, вызывая их гибель.
Какой способ применения Гераклиона, КС рекомендуется для обработки семян? | Рекомендуется проводить предпосевную обработку семян препаратом Гераклион, КС.
Какие болезни могут быть вызваны оомицетами? | Оомицеты могут вызывать гельминтоспориозы, оомицетные инфекции и другие болезни у растений.
Какие свойства обеспечивают эффективность азоксистробина? | Азоксистробин, стробилуриновый фунгицид, обладает высокой системной активностью. Он ингибирует митохондриальное дыхание клеток патогенов, что приводит к их гибели. Это позволяет препарату эффективно бороться с оомицетами и устойчивыми рас возбудителей.
Какое влияние оказывает тирам на ферменты в клетках патогенов? | Тирам ингибирует активность ферментов, содержащих атомы меди или сульфгидрильные группы в клетках патогенов.
Какие классы химических соединений входят в класс опасности препарата? | Препарат Гераклион, КС относится к 2 классу опасности, который означает высокую опасность данного вещества.
Какое влияние оказывает азоксистробин на физиологические процессы растений? | Азоксистробин оказывает физиологическое действие, способствуя озеленению листьев, продлению их жизни и повышению устойчивости к неблагоприятным условиям.
Какие классы химических соединений входят в препарат Гераклион, КС? | В состав препарата Гераклион, КС входят дитиокарбаматы, стробилурины и триазолы.
Какие классы химических соединений входят в состав Гераклиона, КС? | Препарат Гераклион, КС содержит дитиокарбаматы, стробилурины и триазолы.
Какие болезни поражают сою и горох, на которые эффективен Гераклион, КС? | Препарат Гераклион, КС эффективен против фузариозной корневой гнили, фузариозного увядания, аскохитоза, плесневения семян, альтернариозной и бактериальной семенной инфекции у сои и гороха.
Какие классы химических соединений входят в состав препарата? | Препарат Гераклион, КС включает в себя классы химических соединений: дитиокарбаматы, стробилурины и триазолы.
